mp_no,mp_name,mp_state,works,sanctioned,completed,recommended_total,sanctioned_total,disbursed_total,spent_total,alloc_limit,stalled,zero_disbursal,dup_leads,anomalies,avg_risk_per_work,spend_pct_alloc,cumulative_risk_points,risk_rank
18272.0,KALIPADA SAREN,West Bengal,20,4,14,16074531.0,13789827.0,23437526.0,4881631.0,147000000.0,2,4,0,2,9.5,3.3208374149659865,18,155
190.0,Mithlesh Kumar,Uttar Pradesh,193,191,192,79740928.0,48150928.0,96254928.0,0.0,196063957.11,0,2,0,7,0.9326424870466321,0.0,18,156
92.0,Nirmala Sitharaman,Karnataka,8,0,0,0.0,0.0,0.0,59494660.0,215972051.45,0,0,0,8,20.0,27.54738847020384,16,157
132.0,Manas Ranjan Mangaraj,Odisha,25,3,0,5600000.0,2100000.0,0.0,7315000.0,196063957.11,2,3,0,2,6.8,3.730925412209232,16,158
356.0,Shri Sudheer Gupta,Madhya Pradesh,69,55,54,6794092.0,6644092.0,6744846.0,2234246.0,148988014.83,2,4,0,1,2.463768115942029,1.4996145848035793,16,159
727.0,Om Birla,Rajasthan,21,6,5,8052238.0,5098095.0,4452314.0,9681016.0,163906956.6,2,4,0,1,8.095238095238095,5.906409465966498,16,160
18394.0,V S Matheswaran,Tamil Nadu,27,3,9,20902435.0,4990000.0,7456930.0,4370612.0,162539930.11,3,3,0,0,6.111111111111111,2.6889466465515017,15,161
201.0,Sangeeta Yadav,Uttar Pradesh,22,5,17,46443480.0,46443480.0,69638673.0,4579040.0,196063957.11,1,1,0,5,7.045454545454546,2.3354828023954286,15,162
13.0,Indra Hang Subba,Sikkim,25,12,16,28578159.0,22382164.0,32145262.0,3414723.0,152003923.11,1,2,0,4,6.2,2.2464703082228232,15,163
405.0,Balashowry Vallabbhaneni,Andhra Pradesh,19,6,1,6133559.0,3873283.0,299297.0,4606494.0,147000000.0,1,5,0,1,8.157894736842104,3.1336693877551025,15,164
18045.0,VIJAYLAKSHMI DEVI,Bihar,19,5,9,5770242.0,5770242.0,8934673.0,6737500.0,147000000.0,3,3,0,0,8.68421052631579,4.583333333333333,15,165
18391.0,S SUPONGMEREN JAMIR,Nagaland,36,23,23,49000000.0,49000000.0,49000000.0,29650000.0,147000000.0,0,0,0,7,3.888888888888889,20.170068027210885,14,166
561.0,Ravi Shankar Prasad,Bihar,21,8,17,5144500.0,5144500.0,10843146.0,0.0,147000000.0,2,4,0,0,7.142857142857143,0.0,14,167
148.0,Randeep Singh Surjewala,Rajasthan,62,0,10,16903460.0,0.0,10011251.0,25922516.0,196063957.11,0,0,0,7,2.2580645161290325,13.2214591514423,14,168
18209.0,CHANDAN CHAUHAN,Uttar Pradesh,34,7,0,12578200.0,6575800.0,0.0,9636166.0,147000000.0,0,7,0,0,4.117647058823529,6.555214965986394,14,169
839.0,Gulam Ali,Jammu And Kashmir,151,142,144,63201894.0,43275904.0,83697894.0,1877127.0,196063957.11,0,0,0,6,0.7947019867549668,0.957405444462622,12,170
347.0,Shri Suresh Kodikunnil,Kerala,12,7,5,11070354.0,11070354.0,4119089.0,3343369.0,172429519.11,2,2,0,1,10.833333333333334,1.938977164267984,12,171
18182.0,DR RANI SRI KUMAR,Tamil Nadu,8,6,8,14942527.0,14942527.0,16538049.0,0.0,153060922.82,0,0,0,6,15.0,0.0,12,172
728.0,Rahul Kaswan,Rajasthan,15,0,0,0.0,0.0,0.0,7452354.0,147000000.0,0,0,0,6,8.0,5.069628571428572,12,173
182.0,Radha Mohan Das Agrawal,Uttar Pradesh,13,7,12,29249139.0,29249139.0,35527058.0,3293539.0,203626524.67,0,0,0,6,9.23076923076923,1.617441050637954,12,174
18067.0,SATPAL BRAHAMCHARI,Haryana,37,3,0,1344000.0,1344000.0,0.0,17066795.0,147000000.0,0,3,0,3,3.2432432432432434,11.61006462585034,12,175
32.0,S Niranjan Reddy,Andhra Pradesh,7,4,3,7502410.0,7502410.0,5657203.0,7933906.0,224621383.11,1,1,0,3,16.428571428571427,3.532124097069896,11,176
494.0,Prof SP Singh Baghel,Uttar Pradesh,54,40,40,46682728.0,46682728.0,48736151.0,3084819.0,147000000.0,1,1,0,3,2.1296296296296298,2.0985163265306124,11,177
529.0,Maddila Gurumoorthy,Andhra Pradesh,66,4,9,9499317.0,2434125.0,6201937.0,11117330.0,180399007.0,2,2,0,0,1.6666666666666667,6.162633700084613,10,178
18159.0,BHUPENDER YADAV,Rajasthan,21,2,8,11973563.0,1650000.0,7923634.0,9264468.0,147000000.0,2,2,0,0,5.238095238095238,6.30235918367347,10,179
18168.0,BHAJAN LAL JATAV,Rajasthan,8,0,0,0.0,0.0,0.0,305043.0,147000000.0,0,0,0,5,12.5,0.20751224489795916,10,180
777.0,Mahesh Sharma,Uttar Pradesh,60,28,51,26961651.28,26961651.28,44005367.0,6067318.0,148816284.11,2,2,0,0,1.8333333333333333,4.0770524786892555,10,181
508.0,CN Annadurai,Tamil Nadu,22,17,12,10784912.0,10784912.0,8610000.0,2926837.0,148579509.11,0,5,0,0,4.545454545454546,1.9698793040385754,10,182
18290.0,Chandrakant Damodar Handore,Maharashtra,12,0,0,0.0,0.0,0.0,41794907.0,147000000.0,0,0,0,5,8.333333333333334,28.431909523809523,10,183
18298.0,Madan Rathore,Rajasthan,37,0,5,0.0,0.0,3194499.0,15090326.0,147000000.0,0,0,0,5,2.7027027027027026,10.265527891156463,10,184
18354.0,CHINTAMANI MAHARAJ,Chhattisgarh,102,10,35,9997500.0,9997500.0,14312726.0,14046330.0,147000000.0,0,5,0,0,0.9803921568627451,9.555326530612245,10,185
18229.0,ARUN GOVIL,Uttar Pradesh,12,8,6,6845719.0,6845719.0,5034719.0,1766369.0,147000000.0,2,2,0,0,9.166666666666666,1.2016115646258505,10,186
477.0,Ajay Tamta,Uttarakhand,13,0,1,0.0,0.0,454574.0,1826377.0,147000000.0,0,0,0,5,7.6923076923076925,1.2424333333333335,10,187
18172.0,MANNA LAL RAWAT,Rajasthan,29,3,16,25180812.0,2093000.0,19301903.0,1932927.0,147000000.0,0,3,0,2,3.4482758620689653,1.3149163265306123,10,188
317.0,Smt Veena Devi,Bihar,11,5,11,30000000.0,25000000.0,44761000.0,0.0,147000000.0,0,0,0,5,9.090909090909092,0.0,10,189
18278.0,KAMLESH JANGDE,Chhattisgarh,68,54,59,47668461.0,44571636.0,47018461.0,2751785.0,150384382.11,1,2,0,1,1.3970588235294117,1.8298342962151362,9,190
18321.0,SHOBHANABEN MAHENDRASINH BARAIYA,Gujarat,44,5,18,5096000.0,3096000.0,7092964.0,8400000.0,147000000.0,1,3,0,0,2.159090909090909,5.714285714285714,9,191
673.0,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Maharashtra,17,4,2,3848780.0,2099942.0,800000.0,7536086.0,184758519.11,1,2,0,1,5.588235294117647,4.078884176113809,9,192
350.0,Shri Rajmohan Unnithan,Kerala,14,2,1,1600000.0,900000.0,299154.0,1626192.0,156754633.11,0,2,0,2,5.714285714285714,1.03741239907011,8,193
478.0,Mala Rajya Laxmi Shah,Uttarakhand,33,0,4,0.0,0.0,5194642.0,8081402.0,147000000.0,0,0,0,4,2.4242424242424243,5.4975523809523805,8,194
389.0,Shri PP Chaudhary,Rajasthan,9,1,0,2257000.0,2257000.0,0.0,2894695.0,147000000.0,0,1,0,3,8.88888888888889,1.9691802721088436,8,195
162.0,S. Kalyanasundaram,Tamil Nadu,70,25,46,72958665.0,72958665.0,96549904.0,14494306.0,239763792.52,0,0,0,4,1.1428571428571428,6.045243882597891,8,196
758.0,Smt S Jothimani,Tamil Nadu,10,0,2,2102003.0,0.0,1799100.0,810766.0,147000000.0,0,0,2,0,5.0,0.5515414965986395,8,197
18111.0,ANUP SANJAY DHOTRE,Maharashtra,14,3,1,1883603.0,1883603.0,396568.0,9746023.0,147000000.0,0,2,0,2,5.714285714285714,6.629947619047619,8,198
18390.0,AFZAL ANSARI,Uttar Pradesh,44,0,9,29386910.0,0.0,10397814.0,2099279.0,220500000.0,0,0,2,0,1.1363636363636365,0.9520539682539683,8,199
829.0,Smt Sajda Ahmed,West Bengal,23,12,13,4827609.0,4827609.0,5062351.0,1446187.0,147000000.0,0,4,0,0,3.4782608695652173,0.9838006802721089,8,200
18170.0,AMRARAM,Rajasthan,37,0,12,290931.0,0.0,6195636.0,6487481.0,165691544.11,0,0,0,4,2.1621621621621623,3.9153965489591087,8,201
18186.0,Sasikanth Senthil,Tamil Nadu,25,3,3,7248655.0,4830684.0,1588971.0,14652412.0,171500000.0,0,3,0,1,3.2,8.543680466472303,8,202
892.0,S. Jaishankar,Gujarat,17,1,5,4562815.0,4562815.0,2481255.0,7923995.0,171500000.0,1,1,0,1,4.411764705882353,4.620405247813411,7,203
465.0,Swami Sachchidanandhari Sakshi ji Maharaj,Uttar Pradesh,10,9,8,8776638.0,8776638.0,8481816.0,1077000.0,147000000.0,1,1,0,1,7.5,0.7326530612244898,7,204
863.0,P C Mohan,Karnataka,1,1,0,4739506.0,4739506.0,0.0,0.0,159995711.11,1,1,0,1,75.0,0.0,7,205
431.0,Rao Inderjit Singh,Haryana,16,3,3,3300000.0,3600000.0,2800000.0,7875236.0,147000000.0,1,2,0,0,4.6875,5.357303401360544,7,206
585.0,Hasmukh Bhai Soma Bhai Patel,Gujarat,6,2,0,1999505.0,1999505.0,0.0,13422276.0,147000000.0,0,2,0,1,10.0,9.1308,6,207
95.0,A. A. Rahim,Kerala,16,0,3,25717670.0,0.0,8307670.0,16636843.0,220563957.11,0,0,0,3,3.75,7.542865669436121,6,208
341.0,Shri LS Tejasvi Surya,Karnataka,12,4,2,3897342.0,1994484.0,997500.0,4468271.0,147000000.0,0,2,0,1,5.0,3.0396401360544214,6,209
18076.0,DR C N MANJUNATH,Karnataka,66,3,14,23797612.0,1700000.0,8000000.0,4390053.0,147000000.0,0,3,0,0,0.9090909090909091,2.986430612244898,6,210
817.0,Smt Anupriya Patel,Uttar Pradesh,4,0,0,0.0,0.0,0.0,34446064.0,147000000.0,0,0,0,3,15.0,23.432696598639456,6,211
18001.0,GM Harish Balayogi,Andhra Pradesh,19,1,0,3507771.0,3507771.0,0.0,10622004.0,147000000.0,1,1,0,0,2.8947368421052633,7.225853061224489,5,212
18051.0,ROOP KUMARI CHOUDHARY,Chhattisgarh,63,1,42,8691314.0,500000.0,21837688.0,5361700.0,153035414.0,1,1,0,0,0.873015873015873,3.503568134889353,5,213
575.0,C R Patil,Gujarat,26,1,0,500000.0,500000.0,0.0,12047730.0,158532494.36,1,1,0,0,2.1153846153846154,7.59953348910393,5,214
18101.0,RAHUL SINGH LODHI,Madhya Pradesh,57,18,40,10659156.0,6280860.0,11956609.0,6592689.0,163058785.37,1,1,0,0,0.9649122807017544,4.043136335794723,5,215
720.0,Chandra Prakash Joshi,Rajasthan,8,2,6,1652750.0,900000.0,1646423.0,202226.0,147000000.0,1,1,0,0,6.875,0.13756870748299319,5,216
568.0,Vijay Baghel,Chhattisgarh,26,1,7,1000000.0,1000000.0,4490837.0,6124735.0,147000000.0,1,1,0,0,2.1153846153846154,4.166486394557823,5,217
528.0,Lavu Sri Krishna Devarayalu,Andhra Pradesh,3,1,0,416758.0,416758.0,0.0,386057.0,174009663.11,1,1,0,0,18.333333333333332,0.22185951808662172,5,218
225.0,Ranjeet Ranjan,Chhattisgarh,98,2,60,2000000.0,2000000.0,56780789.0,23888671.0,246780257.87,0,0,0,2,0.40816326530612246,9.680138600302532,4,219
18163.0,MURARI LAL MEENA,Rajasthan,23,0,0,0.0,0.0,0.0,10953410.0,147000000.0,0,0,0,2,1.7391304347826086,7.451299319727892,4,220
18164.0,KULDEEP INDORA,Rajasthan,13,0,0,0.0,0.0,0.0,5150481.0,147000000.0,0,0,0,2,3.076923076923077,3.5037285714285717,4,221
18225.0,PUSHPENDRA SAROJ,Uttar Pradesh,337,218,216,19620383.0,16115886.0,15967886.0,7731279.0,147000000.0,0,2,0,0,0.11869436201780416,5.2593734693877545,4,222
18165.0,MANJU SHARMA,Rajasthan,10,3,3,4747255.0,4058307.0,2054213.0,6986454.0,167082901.11,0,1,0,1,4.0,4.181429669694583,4,223
498.0,Dr Sukanta Majumdar,West Bengal,17,2,1,1902957.0,1902957.0,1602957.0,7850327.0,157085364.9,0,1,0,1,2.3529411764705883,4.9974910170641875,4,224
507.0,Ashok Kumar Rawat,Uttar Pradesh,4,0,2,0.0,0.0,48614657.0,72525329.0,147000000.0,0,0,0,2,10.0,49.33695850340136,4,225
492.0,Shri Arun Kumar Sagar,Uttar Pradesh,3,2,2,47808000.0,47808000.0,47808000.0,1800000.0,147000000.0,0,0,0,2,13.333333333333334,1.2244897959183674,4,226
18285.0,Chunnilal Garasiya,Rajasthan,34,0,5,0.0,0.0,5961651.0,24137133.0,147000000.0,0,0,0,2,1.1764705882352942,16.419818367346938,4,227
18333.0,Mahendra Bhatt,Uttarakhand,24,0,0,0.0,0.0,0.0,13525237.0,147000000.0,0,0,0,2,1.6666666666666667,9.20084149659864,4,228
134.0,Ashwini Vaishnaw,Odisha,4,0,0,1500000.0,0.0,0.0,14569117.0,265563957.11,0,0,0,2,10.0,5.486104800722368,4,229
18421.0,Ajay Makan,Karnataka,3,0,0,0.0,0.0,0.0,30306416.0,147000000.0,0,0,0,2,13.333333333333334,20.616609523809522,4,230
18249.0,PARTHA BHOWMICK,West Bengal,2,1,0,700000.0,700000.0,0.0,800000.0,147000000.0,0,1,0,1,20.0,0.5442176870748299,4,231
18327.0,PRANITI SUSHILKUMAR SHINDE,Maharashtra,9,1,0,499880.0,499880.0,0.0,7941644.0,147000000.0,0,1,0,1,4.444444444444445,5.402478911564626,4,232
18308.0,RAVINDRA DATTARAM WAIKAR,Maharashtra,23,1,0,32500000.0,1500000.0,0.0,16086803.0,147000000.0,0,1,0,1,1.7391304347826086,10.943403401360543,4,233
584.0,Vinod Chavda,Gujarat,33,5,4,2461849.0,2461849.0,1811849.0,10078191.0,147000000.0,0,2,0,0,1.2121212121212122,6.855912244897959,4,234
112.0,Dhananjay Bhimrao Mahadik,Maharashtra,24,1,9,13386220.0,999000.0,10425609.0,12412730.0,220383643.11,0,0,0,2,1.6666666666666667,5.6323281641208,4,235
155.0,P. Wilson,Tamil Nadu,2,0,0,0.0,0.0,0.0,9998159.0,89248285.42,0,0,0,2,20.0,11.20263426120618,4,236
18169.0,MAHIMA KUMARI MEWAR,Rajasthan,20,0,1,0.0,0.0,799520.0,13537209.0,183892143.0,0,0,0,2,2.0,7.361493960076369,4,237
661.0,Amol Ramsing Kolhe,Maharashtra,24,2,2,15880568.0,899415.0,0.0,4586697.0,147000000.0,0,2,0,0,1.6666666666666667,3.1202020408163262,4,238
755.0,Thalikkottai Rajuthevar Baalu,Tamil Nadu,23,0,2,0.0,0.0,9997742.0,24283861.0,196905535.11,0,0,0,2,1.7391304347826086,12.33274675921831,4,239
18108.0,DR. LATA WANKHEDE,Madhya Pradesh,84,4,48,12297630.0,6722630.0,31817878.0,6123903.0,147000000.0,0,0,0,2,0.47619047619047616,4.165920408163265,4,240
843.0,Ashok Kumar Mittal,Punjab,23,0,5,997135.0,0.0,6969527.0,8399075.0,222487632.14,0,0,0,2,1.7391304347826086,3.775075009434635,4,241
885.0,Sadanand Mhalu Shet Tanavade,Goa,3,1,1,10025896.99,4008840.0,2767056.99,0.0,171500000.0,0,1,0,1,13.333333333333334,0.0,4,242
18158.0,DR DHARAMVIRA GANDHI,Punjab,58,4,4,530000.0,530000.0,530000.0,7363758.0,147000000.0,0,0,0,2,0.6896551724137931,5.009359183673469,4,243
198.0,Ramji,Uttar Pradesh,234,147,150,63391984.0,48958984.0,80371975.0,7926232.0,174518577.11,0,0,0,2,0.17094017094017094,4.54176978248227,4,244
571.0,Shripad Yesso Naik,Goa,4,1,0,2760000.0,2500000.0,0.0,61425.0,147000000.0,0,1,0,1,10.0,0.04178571428571428,4,245
18210.0,VIRENDRA SINGH,Uttar Pradesh,7,0,2,0.0,0.0,19276000.0,4668255.0,147000000.0,0,0,0,1,2.857142857142857,3.175683673469388,2,246
18233.0,PRAVEEN PATEL,Uttar Pradesh,2,0,0,0.0,0.0,0.0,22819274.0,151559884.09,0,0,0,1,10.0,15.056275700533892,2,247
18242.0,RAMBHUAL NISHAD,Uttar Pradesh,8,0,3,15852234.0,0.0,29778266.0,10307139.0,151231957.11,0,0,0,1,2.5,6.815450382952462,2,248
18241.0,RAKESH RATHOR,Uttar Pradesh,23,1,13,19041868.0,1316609.0,18632428.0,2833961.0,147000000.0,0,1,0,0,0.8695652173913043,1.9278646258503402,2,249
18296.0,Syed Naseer Hussain,Karnataka,6,0,0,0.0,0.0,0.0,8143106.0,147000000.0,0,0,0,1,3.3333333333333335,5.539527891156463,2,250
18404.0,CHANDRA SHEKHAR,Uttar Pradesh,266,91,157,30242007.0,23986503.0,46830445.0,2923271.0,147000000.0,0,0,0,1,0.07518796992481203,1.9886197278911566,2,251
18435.0,Rajathi,Tamil Nadu,11,0,0,0.0,0.0,0.0,14987106.0,89248285.42,0,0,0,1,1.8181818181818181,16.792598232527478,2,252
102.0,Jebi Mather Hisham,Kerala,23,0,4,2000000.0,0.0,7457339.0,16964490.0,220563957.11,0,0,0,1,0.8695652173913043,7.691415325641551,2,253
18403.0,Mayankkumar Nayak,Gujarat,40,0,0,0.0,0.0,0.0,11703169.0,147000000.0,0,0,0,1,0.5,7.961339455782312,2,254
18431.0,Kanad Purkayastha,Assam,19,0,0,0.0,0.0,0.0,22019134.0,98000000.0,0,0,0,1,1.0526315789473684,22.468504081632652,2,255
234.0,Raghav Chadha,Punjab,5,0,3,2132378.0,0.0,2132378.0,27471934.0,237229207.25,0,0,0,1,4.0,11.580333770221289,2,256
428.0,Santosh Pandey,Chhattisgarh,63,1,14,3899375.0,2499475.0,7439363.0,14837925.0,147000000.0,0,0,0,1,0.31746031746031744,10.093826530612244,2,257
18228.0,PRIYA SAROJ,Uttar Pradesh,368,1,260,14046692.0,3646225.0,11890832.0,16857101.0,147000000.0,0,0,0,1,0.05434782608695652,11.467415646258504,2,258
18282.0,Dorjee Tshering Lepcha,Sikkim,54,0,46,35546595.0,0.0,37596698.0,6996346.0,150170726.11,0,0,0,1,0.37037037037037035,4.658927995643557,2,259
18305.0,E.T. MOHAMMED BASHEER,Kerala,16,0,0,0.0,0.0,0.0,7711285.0,163895872.11,0,0,0,1,1.25,4.704990370242217,2,260
18329.0,Haris Beeran,Kerala,12,0,0,5500000.0,0.0,0.0,7738324.0,122500000.0,0,0,0,1,1.6666666666666667,6.316999183673469,2,261
18304.0,Harsh Mahajan,Himachal Pradesh,96,0,43,10649409.0,0.0,11758713.0,9599006.0,147000000.0,0,0,0,1,0.20833333333333334,6.529936054421769,2,262
18299.0,Sagarika Ghose,West Bengal,1,0,0,0.0,0.0,0.0,27499209.0,147000000.0,0,0,0,1,20.0,18.706944897959183,2,263
384.0,Shri Arjun Ram Meghwal,Rajasthan,22,1,4,18598759.0,1000000.0,6386231.0,5033053.0,147000000.0,0,1,0,0,0.9090909090909091,3.423845578231292,2,264
380.0,Shri Amar Singh,Punjab,31,0,0,0.0,0.0,0.0,3782473.0,147000000.0,0,0,0,1,0.6451612903225806,2.5731108843537416,2,265
18197.0,BIPLAB KUMAR DEB,Tripura,7,0,0,0.0,0.0,0.0,10938765.0,147000000.0,0,0,0,1,2.857142857142857,7.441336734693878,2,266
672.0,Nitin Jairam Gadkari,Maharashtra,25,5,9,2835493.0,2835493.0,7131928.0,18708912.0,168195086.11,0,0,0,1,0.8,11.123340421351147,2,267
685.0,Shrirang Appa Barne,Maharashtra,15,8,7,7972256.0,7972256.0,6976030.0,5499930.0,147000000.0,0,1,0,0,1.3333333333333333,3.7414489795918366,2,268
691.0,Smt Raksha Nikhil Khadse,Maharashtra,1,1,1,2999928.0,2999928.0,2974718.0,0.0,153112586.11,0,0,0,1,20.0,0.0,2,269
18350.0,SUKANTA KUMAR PANIGRAHI,Odisha,10,0,0,0.0,0.0,0.0,3624812.0,190712424.11,0,0,0,1,2.0,1.9006690397418806,2,270
18198.0,UJJWAL RAMAN SINGH,Uttar Pradesh,4,0,0,0.0,0.0,0.0,9593571.0,147000000.0,0,0,0,1,5.0,6.526238775510204,2,271
18224.0,RAMESH AWASTHI,Uttar Pradesh,8,1,1,3831541.0,3831541.0,3831541.0,4239094.0,147000000.0,0,0,0,1,2.5,2.8837374149659865,2,272
18193.0,EATALA RAJENDER,Telangana,28,1,0,8404073.0,1500000.0,0.0,8670790.0,327477390.86,0,1,0,0,0.7142857142857143,2.6477522546607966,2,273
18160.0,UMMEDA RAM BENIWAL,Rajasthan,16,0,5,0.0,0.0,4330337.0,5922927.0,147000000.0,0,0,0,1,1.25,4.029202040816326,2,274
722.0,Dushyant Singh,Rajasthan,1,0,0,0.0,0.0,0.0,401413.0,147000000.0,0,0,0,1,20.0,0.2730700680272109,2,275
18201.0,NEERAJ MAURYA,Uttar Pradesh,4,1,2,46470400.0,46470400.0,48844800.0,930275.0,147000000.0,0,0,0,1,5.0,0.6328401360544218,2,276
18337.0,K RADHAKRISHNAN,Kerala,6,1,0,2871509.0,2871509.0,0.0,7932493.0,147000000.0,0,1,0,0,3.3333333333333335,5.396253741496598,2,277
217.0,Mohammed Nadimul Haque,West Bengal,3,0,0,0.0,0.0,0.0,25153249.0,147000000.0,0,0,0,1,6.666666666666667,17.111053741496598,2,278
18365.0,Satnam Singh Sandhu,Chandigarh,8,0,0,1000000.0,0.0,0.0,5853475.0,147000000.0,0,0,0,1,2.5,3.9819557823129252,2,279
224.0,Phulo Devi Netam,Chhattisgarh,8,0,0,0.0,0.0,0.0,5048938.0,49000000.0,0,0,0,1,2.5,10.303955102040817,2,280
220.0,Derek O' Brien,West Bengal,1,0,0,0.0,0.0,0.0,39492524.0,171500000.0,0,0,0,1,20.0,23.027710787172012,2,281
218.0,Dola Sen,West Bengal,4,0,0,0.0,0.0,0.0,36602784.0,171500000.0,0,0,0,1,5.0,21.342731195335276,2,282
18126.0,ADV GOWAAL KAGADA PADAVI,Maharashtra,190,1,0,1199000.0,1199000.0,0.0,32041066.0,147816309.11,0,1,0,0,0.10526315789473684,21.67627252562239,2,283
888.0,Nagendra Ray,West Bengal,3,0,0,0.0,0.0,0.0,16102557.0,171500000.0,0,0,0,1,6.666666666666667,9.389246064139941,2,284
879.0,Narain Dass Gupta,Delhi,9,0,0,0.0,0.0,0.0,17052414.0,160837070.0,0,0,0,1,2.2222222222222223,10.602290877345627,2,285
18138.0,RICHARD VANLALHMANGAIHA,Mizoram,113,27,89,44997115.0,12500000.0,40090000.0,8605000.0,147000000.0,0,1,0,0,0.17699115044247787,5.85374149659864,2,286
852.0,Abu Taher Khan,West Bengal,8,1,1,1500000.0,1500000.0,350852.0,4106265.0,147000000.0,0,1,0,0,2.5,2.793377551020408,2,287
889.0,Babubhai Jesangbhai Desai,Gujarat,62,1,26,1320000.0,570000.0,12346680.0,18328563.0,171500000.0,0,1,0,0,0.3225806451612903,10.687208746355685,2,288
181.0,Laxmikant Bajpayee,Uttar Pradesh,13,0,0,1430468.0,0.0,0.0,16985173.0,196000000.0,0,0,0,1,1.5384615384615385,8.665904591836734,2,289
893.0,Samirul Islam,West Bengal,1,0,0,0.0,0.0,0.0,37711428.0,171500000.0,0,0,0,1,20.0,21.98917084548105,2,290
18393.0,MADHAVANENI RAGHUNANDAN RAO,Telangana,10,1,2,1250000.0,1250000.0,488749.0,6611029.0,147000000.0,0,1,0,0,2.0,4.497298639455782,2,291
176.0,Rajeev Shukla,Chhattisgarh,12,0,1,0.0,0.0,30000000.0,4859974.0,271174394.23,0,0,0,1,1.6666666666666667,1.792195024091379,2,292
866.0,Kalanidhi Veeraswamy,Tamil Nadu,9,0,0,0.0,0.0,0.0,26125006.0,171500000.0,0,0,0,1,2.2222222222222223,15.233239650145771,2,293
18070.0,MIAN ALTAF AHMAD,Jammu And Kashmir,23,0,0,0.0,0.0,0.0,19112426.0,147000000.0,0,0,0,1,0.8695652173913043,13.001650340136054,2,294
18011.0,BASTIPATI NAGARAJU PANCHALINGALA,Andhra Pradesh,45,1,44,2998485.0,2998485.0,8798051.0,0.0,159998515.11,0,1,0,0,0.4444444444444444,0.0,2,295
18053.0,DINESHBHAI MAKWANA,Gujarat,1,0,0,0.0,0.0,0.0,9000000.0,160434965.11,0,0,0,1,20.0,5.609749716235033,2,296
18047.0,MANISH TEWARI,Chandigarh,9,0,0,0.0,0.0,0.0,7207768.0,178351443.75,0,0,0,1,2.2222222222222223,4.041328653388039,2,297
73.0,Birendra Prasad Baishya,Assam,16,0,0,0.0,0.0,0.0,25572904.0,98000000.0,0,0,0,1,1.25,26.094800000000003,2,298
104.0,L. Murugan,Madhya Pradesh,10,0,1,0.0,0.0,1500000.0,18599774.0,147000000.0,0,0,0,1,2.0,12.652907482993198,2,299
18392.0,JITIN PRASADA,Uttar Pradesh,2,0,0,0.0,0.0,0.0,1378381.0,147000000.0,0,0,0,0,0.0,0.937674149659864,0,300
17.0,S. Jagathrakshakan,Tamil Nadu,18,2,6,1996264.0,1996264.0,6348814.0,11699532.0,180589332.34,0,0,0,0,0.0,6.478528852398104,0,301
44.0,Akhilesh Prasad Singh,Bihar,15,0,7,0.0,0.0,10347800.0,9516950.0,186200000.0,0,0,0,0,0.0,5.111143931256714,0,302
18412.0,Rajib Bhattacharjee,Tripura,11,0,0,0.0,0.0,0.0,14419028.0,122500000.0,0,0,0,0,0.0,11.770635102040817,0,303
18377.0,CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,39,0,39,0.0,0.0,25923385.0,0.0,147000000.0,0,0,0,0,0.0,0.0,0,304
18379.0,ABDUL RASHID SHEIKH,Jammu And Kashmir,12,0,0,0.0,0.0,0.0,5294877.0,154773472.11,0,0,0,0,0.0,3.421049439426445,0,305
18395.0,Praveen Khandelwal,Delhi,5,0,0,0.0,0.0,0.0,2642338.0,147470276.0,0,0,0,0,0.0,1.7917766696252742,0,306
18396.0,Harsh Malhotra,Delhi,7,0,0,4381997.0,0.0,0.0,436028.0,147134131.0,0,0,0,0,0.0,0.296347283282626,0,307
18397.0,Bansuri Swaraj,Delhi,21,0,2,0.0,0.0,1022450.0,6537234.0,154306950.0,0,0,0,0,0.0,4.23651300216873,0,308
171.0,Ravi Chandra Vaddiraju,Telangana,59,0,10,0.0,0.0,4580679.0,27266891.0,152732534.11,0,0,0,0,0.0,17.85270647075234,0,309
108.0,Anil Sukhdeorao Bonde,Maharashtra,39,0,11,17214348.0,0.0,13456284.0,26922765.0,196063957.11,0,0,0,0,0.0,13.731623801153422,0,310
113.0,Imran Pratapgarhi,Maharashtra,10,0,1,0.0,0.0,1999834.0,11038903.0,196000000.0,0,0,0,0,0.0,5.632093367346939,0,311
116.0,Sanjay Raut,Maharashtra,12,0,1,9800000.0,0.0,1463459.0,15407319.0,196063957.11,0,0,0,0,0.0,7.858312780740142,0,312
18381.0,Renuka Chowdhury,Telangana,7,0,0,0.0,0.0,0.0,3061296.0,147000000.0,0,0,0,0,0.0,2.0825142857142858,0,313
18382.0,Mamata Thakur,West Bengal,15,0,3,0.0,0.0,1256419.0,7255152.0,147000000.0,0,0,0,0,0.0,4.9354775510204085,0,314
18383.0,Samik Bhattacharya,West Bengal,11,0,0,0.0,0.0,0.0,15719550.0,147000000.0,0,0,0,0,0.0,10.69357142857143,0,315
18384.0,SELVARAJ V,Tamil Nadu,10,0,0,0.0,0.0,0.0,10737532.0,147000000.0,0,0,0,0,0.0,7.304443537414966,0,316
18385.0,Sarfraz Ahmad,Jharkhand,30,0,0,0.0,0.0,0.0,11472440.0,178564551.09,0,0,0,0,0.0,6.42481384461223,0,317
